id,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,quality
1,0.7,0,1.9,0.076,11,34,0.9978,5
2,0.88,0,2.6,0.098,25,67,0.9968,5
3,0.76,0.04,2.3,0.092,15,54,0.997,5
4,0.28,0.56,1.9,0.075,17,60,0.998,6
5,0.7,0,1.9,0.076,11,34,0.9978,5
6,0.66,0,1.8,0.075,13,40,0.9978,5
7,0.6,0.06,1.6,0.069,15,59,0.9964,5
8,0.65,0,1.2,0.065,15,21,0.9946,7
9,0.58,0.02,2,0.073,9,18,0.9968,7
10,0.5,0.36,6.1,0.071,17,102,0.9978,5
11,0.58,0.08,1.8,0.097,15,65,0.9959,5
12,0.5,0.36,6.1,0.071,17,102,0.9978,5
13,0.615,0,1.6,0.089,16,59,0.9943,5
14,0.61,0.29,1.6,0.114,9,29,0.9974,5
15,0.62,0.18,3.8,0.176,52,145,0.9986,5
16,0.62,0.19,3.9,0.17,51,148,0.9986,5
17,0.28,0.56,1.8,0.092,35,103,0.9969,7
18,0.56,0.28,1.7,0.368,16,56,0.9968,5
19,0.59,0.08,4.4,0.086,6,29,0.9974,4
20,0.32,0.51,1.8,0.341,17,56,0.9969,6
21,0.22,0.48,1.8,0.077,29,60,0.9968,6
22,0.39,0.31,2.3,0.082,23,71,0.9982,5
23,0.43,0.21,1.6,0.106,10,37,0.9966,5
24,0.49,0.11,2.3,0.084,9,67,0.9968,5
25,0.4,0.14,2.4,0.085,21,40,0.9968,6
26,0.39,0.16,1.4,0.08,11,23,0.9955,5
27,0.41,0.24,1.8,0.08,4,11,0.9962,5
28,0.43,0.21,1.6,0.106,10,37,0.9966,5
29,0.71,0,1.9,0.08,14,35,0.9972,5
30,0.645,0,2,0.082,8,16,0.9964,6
31,0.675,0.07,2.4,0.089,17,82,0.9958,5
32,0.685,0,2.5,0.105,22,37,0.9966,6
33,0.655,0.12,2.3,0.083,15,113,0.9966,5
34,0.605,0.12,10.7,0.073,40,83,0.9993,6
35,0.32,0.25,1.8,0.103,13,50,0.9957,5
36,0.645,0,5.5,0.086,5,18,0.9986,6
37,0.6,0.14,2.4,0.086,3,15,0.9975,6
38,0.38,0.28,2.1,0.066,13,30,0.9968,7
39,1.13,0.09,1.5,0.172,7,19,0.994,4
40,0.45,0.36,5.9,0.074,12,87,0.9978,5
41,0.45,0.36,5.9,0.074,12,87,0.9978,5
42,0.61,0.3,2.8,0.088,17,46,0.9976,4
43,0.49,0.2,2.6,0.332,8,14,0.9968,6
44,0.66,0.22,2.2,0.069,9,23,0.9968,5
45,0.67,0.02,1.8,0.05,5,11,0.9962,5
46,0.52,0.15,2.1,0.054,8,65,0.9934,4
47,0.935,0.43,2.2,0.114,22,114,0.997,5
48,0.29,0.52,1.6,0.113,12,37,0.9969,5
49,0.4,0.23,1.6,0.066,5,12,0.9958,5
50,0.31,0.37,1.4,0.074,12,96,0.9954,5
51,0.66,0.26,1.7,0.074,4,23,0.9971,5
52,0.52,0.04,2.2,0.069,8,15,0.9956,6
53,0.5,0.04,2.1,0.068,6,14,0.9955,6
54,0.38,0.36,3,0.081,30,119,0.997,5
55,0.51,0.15,2.8,0.11,33,73,0.9955,6
56,0.62,0.04,3.8,0.084,25,45,0.9978,5
57,0.42,0.57,3.4,0.07,4,10,0.9971,5
58,0.63,0.12,5.1,0.111,50,110,0.9983,5
59,0.59,0.18,2.3,0.076,17,54,0.9975,5
60,0.39,0.31,2.4,0.074,9,46,0.9962,6
61,0.4,0.4,2.2,0.079,19,52,0.998,5
62,0.69,0.49,1.8,0.115,20,112,0.9968,5
63,0.52,0.16,1.9,0.085,12,35,0.9968,7
64,0.735,0.05,2,0.081,13,54,0.9966,5
65,0.725,0.05,4.65,0.086,4,11,0.9962,5
66,0.725,0.05,4.65,0.086,4,11,0.9962,5
67,0.52,0.11,1.5,0.079,11,39,0.9968,5
68,0.705,0.07,1.6,0.076,6,15,0.9962,5
69,0.32,0.57,2,0.074,27,65,0.9969,5
70,0.705,0.05,1.9,0.074,8,19,0.9962,6
71,0.63,0.08,1.9,0.076,15,27,0.9967,6
72,0.67,0.23,2.1,0.088,17,96,0.9962,5
73,0.69,0.22,1.9,0.084,18,94,0.9961,5
74,0.675,0.26,2.1,0.084,11,43,0.9976,4
75,0.32,0.54,2.5,0.094,28,83,0.9984,5
76,0.41,0.64,2.2,0.093,9,42,0.9986,5
77,0.41,0.64,2.2,0.093,9,42,0.9986,5
78,0.785,0,2.4,0.104,14,30,0.9966,6
79,0.75,0.12,2,0.086,12,80,0.9958,5
