id,pH,sulphates,alcohol
1,3.51,0.56,9.4
2,3.2,0.68,9.8
3,3.26,0.65,9.8
4,3.16,0.58,9.8
5,3.51,0.56,9.4
6,3.51,0.56,9.4
7,3.3,0.46,9.4
8,3.39,0.47,10
9,3.36,0.57,9.5
10,3.35,0.8,10.5
11,3.28,0.54,9.2
12,3.35,0.8,10.5
13,3.58,0.52,9.9
14,3.26,1.56,9.1
15,3.16,0.88,9.2
16,3.17,0.93,9.2
17,3.3,0.75,10.5
18,3.11,1.28,9.3
19,3.38,0.5,9
20,3.04,1.08,9.2
21,3.39,0.53,9.4
22,3.52,0.65,9.7
23,3.17,0.91,9.5
24,3.17,0.53,9.4
25,3.43,0.63,9.7
26,3.34,0.56,9.3
27,3.28,0.59,9.5
28,3.17,0.91,9.5
29,3.47,0.55,9.4
30,3.38,0.59,9.8
31,3.35,0.54,10.1
32,3.46,0.57,10.6
33,3.17,0.66,9.8
34,3.45,0.52,9.4
35,3.38,0.55,9.2
36,3.4,0.55,9.6
37,3.42,0.6,10.8
38,3.23,0.73,9.7
39,3.5,0.48,9.8
40,3.33,0.83,10.5
41,3.33,0.83,10.5
42,3.26,0.51,9.3
43,3.21,0.9,10.5
44,3.3,1.2,10.3
45,3.48,0.52,9.5
46,3.9,0.56,13.1
47,3.25,0.73,9.2
48,3.25,0.58,9.5
49,3.34,0.56,9.2
50,3.32,0.58,9.2
51,3.15,0.74,9.2
52,3.4,0.63,9.4
53,3.39,0.64,9.4
54,3.2,0.56,9.4
55,3.17,0.63,10.2
56,3.34,0.53,9.5
57,3.04,0.63,9.6
58,3.26,0.77,9.4
59,3.43,0.59,10
60,3.41,0.54,9.4
61,3.44,0.64,9.2
62,3.21,0.71,9.3
63,3.38,0.62,9.5
64,3.39,0.57,9.8
65,3.41,0.39,10.9
66,3.41,0.39,10.9
67,3.42,0.58,9.6
68,3.44,0.58,10.7
69,3.28,0.79,10.7
70,3.34,0.95,10.5
71,3.32,0.54,9.5
72,3.32,0.48,9.5
73,3.31,0.48,9.5
74,3.31,0.53,9.2
75,3.28,0.82,9.6
76,3.54,0.66,10.5
77,3.54,0.66,10.5
78,3.52,0.55,10.7
79,3.38,0.52,10.1
80,3.16,1.12,9.1
81,3.41,0.56,9.2
82,3.13,1.28,9.4
83,3.36,0.57,9.1
84,3.16,1.14,9.4
85,3.44,0.78,10.3
86,3.41,0.59,10.1
87,2.93,1.95,9.9
88,3.39,0.64,9.6
89,3.14,1.22,9.5
90,3.48,0.53,9
91,3.23,0.54,9.5
92,2.93,1.95,9.9
93,2.93,1.98,9.8
94,3.39,0.64,9.6
